date,open,close,volume
2020-10-13,121.0800,121.0500,13100
2020-10-14,121.3300,119.9700,37800
2020-10-15,118.0300,119.1070,30600
2020-10-16,119.9000,118.5000,51000
2020-10-19,119.8300,116.4500,50600
2020-10-20,116.9100,116.8900,49800
2020-10-21,116.9500,117.0400,28200
2020-10-22,117.1100,116.7200,24800
2020-10-23,116.9900,117.0000,40600
2020-10-26,116.0100,115.1800,74400
2020-10-27,115.6200,116.0900,46900
2020-10-28,114.2800,111.6900,138800
2020-10-29,112.1600,113.5100,79600
2020-10-30,112.7000,110.8600,130600
2020-11-02,111.6500,110.9000,74100
2020-11-03,111.7100,113.4310,61800
2020-11-04,116.4500,117.7900,109700
2020-11-05,120.5100,120.9200,146500
2020-11-06,120.6300,121.0000,47100
2020-11-09,122.2100,118.5000,154000
2020-11-10,117.1500,116.3170,84200
2020-11-11,117.4700,119.1100,65800
2020-11-12,119.4800,118.4200,44900
2020-11-13,119.1900,119.5500,39900
2020-11-16,119.4600,120.0700,47000
2020-11-17,120.5600,120.0600,29000
2020-11-18,119.8600,119.5480,35200
2020-11-19,118.9700,120.1300,52700
2020-11-20,120.0700,119.3900,37000
2020-11-23,119.7700,119.3000,50500
2020-11-24,119.8000,121.0400,90900
2020-11-25,121.3900,121.7190,44200
2020-11-27,122.5500,122.7500,35500
2020-11-30,122.9700,123.0100,84000
2020-12-01,124.0700,124.7200,92800
2020-12-02,124.1600,124.8400,140900
2020-12-03,124.9500,125.0200,93200
2020-12-04,125.0500,125.4500,74300
2020-12-07,125.6200,125.8300,76700
2020-12-08,126.0200,126.6050,54800
2020-12-09,126.5900,123.8500,148700
2020-12-10,122.9500,124.2600,128300
2020-12-11,123.5500,123.9700,54200
2020-12-14,124.5400,124.8900,184100
2020-12-15,125.8900,126.2300,64300
2020-12-16,126.4400,126.9100,84900
2020-12-17,127.6200,127.7600,57900
2020-12-18,128.1100,127.4300,84300
2020-12-21,126.1200,126.8900,85100
2020-12-22,127.2500,127.2400,59000
2020-12-23,127.5000,126.6600,69000
2020-12-24,126.9600,127.1900,32000
2020-12-28,128.4300,128.4800,59200
2020-12-29,129.0800,128.6300,66600
2020-12-30,129.3600,128.5300,89900
2020-12-31,128.7800,128.9100,73500
2021-01-04,129.6000,127.0800,160800
2021-01-05,126.7600,128.0950,66600
2021-01-06,126.3700,126.3300,469300
2021-01-07,127.5800,129.4600,97100
2021-01-08,130.5200,131.1400,78400
2021-01-11,129.9900,129.1800,69500
2021-01-12,129.2900,129.1400,122100
2021-01-13,129.0000,129.8400,56600
2021-01-14,130.2700,129.1400,90000
2021-01-15,128.8300,128.1000,102700
2021-01-19,129.2000,130.0300,82300
2021-01-20,131.6900,133.0700,120500
2021-01-21,133.7000,134.1500,159700
2021-01-22,133.6100,133.7800,124900
2021-01-25,135.3100,134.6300,155200
2021-01-26,135.2600,135.0400,75600
2021-01-27,134.2400,131.4500,148600
2021-01-28,131.9100,132.0800,88600
2021-01-29,131.5100,129.3700,119300
2021-02-01,130.9100,132.5400,131300
2021-02-02,133.8200,134.7150,111600
2021-02-03,135.7000,134.2200,93100
2021-02-04,134.8700,135.6500,76200
2021-02-05,136.2600,136.1900,182400
2021-02-08,137.0000,137.0400,105200
2021-02-09,136.8400,137.0100,101700
2021-02-10,137.6500,136.6700,104500
2021-02-11,137.5700,137.4390,136200
2021-02-12,137.0300,138.2900,87100
