date,open,close,volume
1984-01-03,997.5000,997.5000,0
1984-01-04,997.5000,998.6000,0
1984-01-05,1007.1000,1015.8000,0
1984-01-06,1019.0000,1029.0000,0
1984-01-09,1030.6000,1034.6000,0
1984-01-10,1034.6000,1034.3000,0
1984-01-11,1033.6000,1023.4000,0
1984-01-12,1023.4000,1031.3000,0
1984-01-13,1033.1000,1042.7000,0
1984-01-16,1042.7000,1046.0000,0
1984-01-17,1044.4000,1041.9000,0
1984-01-18,1044.4000,1058.7000,0
1984-01-19,1058.7000,1057.8000,0
1984-01-20,1057.8000,1059.0000,0
1984-01-23,1059.0000,1046.8000,0
1984-01-24,1046.8000,1055.2000,0
1984-01-25,1058.2000,1073.5000,0
1984-01-26,1073.5000,1072.1000,0
1984-01-27,1072.1000,1075.9000,0
1984-01-30,1075.9000,1068.6000,0
1984-01-31,1063.5000,1063.0000,0
1984-02-01,1062.6000,1060.3000,0
1984-02-02,1055.0000,1050.8000,0
1984-02-03,1054.4000,1059.8000,0
1984-02-06,1054.2000,1038.2000,0
1984-02-07,1026.7000,1021.7000,0
1984-02-08,1026.7000,1029.7000,0
1984-02-09,1016.9000,1016.9000,0
1984-02-10,1016.9000,1018.0000,0
1984-02-13,1018.3000,1018.3000,0
1984-02-14,1018.3000,1027.0000,0
1984-02-15,1031.7000,1033.0000,0
1984-02-16,1033.0000,1035.0000,0
1984-02-17,1035.0000,1039.0000,0
1984-02-20,1038.7000,1035.4000,0
1984-02-21,1038.4000,1044.4000,0
1984-02-22,1044.4000,1043.0000,0
1984-02-23,1042.1000,1031.7000,0
1984-02-24,1031.7000,1036.9000,0
1984-02-27,1038.8000,1041.3000,0
1984-02-28,1039.2000,1039.2000,0
1984-02-29,1039.2000,1040.3000,0
1984-03-01,1042.1000,1046.1000,0
1984-03-02,1048.8000,1060.7000,0
1984-03-05,1053.7000,1053.7000,0
1984-03-06,1053.7000,1064.5000,0
1984-03-07,1063.1000,1055.6000,0
1984-03-08,1055.6000,1055.8000,0
1984-03-09,1056.3000,1060.1000,0
1984-03-12,1060.1000,1063.6000,0
1984-03-13,1067.5000,1082.5000,0
1984-03-14,1082.5000,1087.7000,0
1984-03-15,1087.7000,1101.1000,0
1984-03-16,1115.8000,1128.5000,0
1984-03-19,1125.9000,1109.7000,0
1984-03-20,1110.0000,1123.3000,0
1984-03-21,1126.1000,1130.7000,0
1984-03-22,1125.4000,1117.2000,0
1984-03-23,1117.2000,1121.3000,0
1984-03-26,1119.9000,1119.7000,0
1984-03-27,1117.3000,1101.9000,0
1984-03-28,1101.9000,1103.6000,0
1984-03-29,1109.3000,1113.6000,0
1984-03-30,1113.6000,1112.5000,0
1984-04-02,1112.5000,1108.1000,0
1984-04-03,1101.5000,1095.4000,0
1984-04-04,1095.1000,1093.6000,0
1984-04-05,1097.8000,1102.2000,0
1984-04-06,1096.3000,1096.3000,0
1984-04-09,1096.3000,1096.7000,0
1984-04-10,1097.9000,1105.4000,0
1984-04-11,1108.3000,1110.6000,0
1984-04-12,1110.6000,1117.0000,0
1984-04-13,1127.8000,1129.1000,0
1984-04-16,1122.9000,1105.9000,0
1984-04-17,1105.9000,1110.2000,0
1984-04-18,1114.2000,1116.2000,0
1984-04-19,1114.6000,1108.4000,0
1984-04-20,,,
1984-04-23,,,
1984-04-24,1105.6000,1105.4000,0
1984-04-25,1112.4000,1119.8000,0
1984-04-26,1124.7000,1130.9000,0
1984-04-27,1138.2000,1138.2000,0
1984-04-30,1138.2000,1138.3000,0
1984-05-01,1137.2000,1136.8000,0
1984-05-02,1136.8000,1140.1000,0
1984-05-03,1140.1000,1141.5000,0
1984-05-04,1135.8000,1134.0000,0
1984-05-07,,,
1984-05-08,1126.9000,1117.6000,0
1984-05-09,1117.6000,1109.9000,0
1984-05-10,1101.3000,1094.4000,0
1984-05-11,1089.0000,1078.7000,0
1984-05-14,1078.7000,1082.4000,0
1984-05-15,1083.6000,1094.6000,0
1984-05-16,1101.8000,1104.5000,0
1984-05-17,1113.0000,1113.0000,0
1984-05-18,1108.8000,1104.9000,0
1984-05-21,1105.9000,1108.7000,0
1984-05-22,1105.7000,1084.6000,0
1984-05-23,1084.6000,1075.4000,0
1984-05-24,1074.6000,1051.6000,0
1984-05-25,1051.6000,1055.5000,0
1984-05-28,,,
1984-05-29,1055.9000,1056.1000,0
1984-05-30,1052.3000,1026.6000,0
1984-05-31,1026.6000,1021.0000,0
1984-06-01,1026.8000,1055.8000,0
1984-06-04,1067.4000,1078.0000,0
1984-06-05,1078.0000,1077.8000,0
1984-06-06,1080.0000,1087.9000,0
1984-06-07,1087.9000,1072.0000,0
1984-06-08,1072.0000,1068.6000,0
1984-06-11,1072.7000,1075.9000,0
1984-06-12,1067.9000,1067.1000,0
1984-06-13,1065.1000,1064.7000,0
1984-06-14,1055.6000,1043.8000,0
1984-06-15,1040.1000,1040.1000,0
1984-06-18,1040.1000,1042.6000,0
1984-06-19,1054.1000,1056.0000,0
1984-06-20,1055.4000,1035.6000,0
1984-06-21,1040.6000,1041.6000,0
1984-06-22,1040.2000,1033.1000,0
1984-06-25,1033.1000,1033.1000,0
1984-06-26,1024.3000,1024.3000,0
1984-06-27,1024.3000,1038.3000,0
1984-06-28,1038.3000,1029.3000,0
1984-06-29,1029.3000,1041.4000,0
1984-07-02,1041.4000,1047.6000,0
1984-07-03,1047.6000,1050.2000,0
1984-07-04,1053.2000,1063.3000,0
1984-07-05,1062.4000,1062.4000,0
1984-07-06,1060.7000,1042.3000,0
1984-07-09,1040.9000,1033.5000,0
1984-07-10,1030.4000,1014.4000,0
1984-07-11,1001.7000,1001.7000,0
1984-07-12,999.2000,991.4000,0
1984-07-13,991.4000,995.8000,0
1984-07-16,995.8000,1003.0000,0
1984-07-17,1003.8000,1007.8000,0
1984-07-18,1007.8000,1009.0000,0
1984-07-19,1003.0000,1003.0000,0
1984-07-20,1008.1000,1009.8000,0
1984-07-23,1008.3000,986.9000,0
1984-07-24,986.9000,989.6000,0
1984-07-25,989.6000,996.2000,0
1984-07-26,999.1000,999.1000,0
1984-07-27,999.1000,995.6000,0
1984-07-30,995.6000,996.5000,0
1984-07-31,996.5000,1010.1000,0
1984-08-01,1010.1000,1018.1000,0
1984-08-02,1029.4000,1039.1000,0
1984-08-03,1054.1000,1065.0000,0
1984-08-06,1065.0000,1061.4000,0
1984-08-07,1061.4000,1068.7000,0
1984-08-08,1073.7000,1080.7000,0
1984-08-09,1077.2000,1070.4000,0
1984-08-10,1080.7000,1095.7000,0
1984-08-13,1089.5000,1084.1000,0
1984-08-14,1084.3000,1091.8000,0
1984-08-15,1091.8000,1082.9000,0
1984-08-16,1075.6000,1075.6000,0
1984-08-17,1075.6000,1078.0000,0
1984-08-20,1076.0000,1074.4000,0
1984-08-21,1077.2000,1082.4000,0
1984-08-22,1089.4000,1090.2000,0
1984-08-23,1081.9000,1081.1000,0
1984-08-24,1081.3000,1087.2000,0
1984-08-27,,,
1984-08-28,1085.5000,1082.3000,0
1984-08-29,1084.5000,1096.0000,0
1984-08-30,1096.0000,1101.9000,0
1984-08-31,1101.9000,1103.9000,0
