date,open,close,volume
1871-01-01,,4.4400,
1871-02-01,,4.5000,
1871-03-01,,4.6100,
1871-04-01,,4.7400,
1871-05-01,,4.8600,
1871-06-01,,4.8200,
1871-07-01,,4.7300,
1871-08-01,,4.7900,
1871-09-01,,4.8400,
1871-10-01,,4.5900,
1871-11-01,,4.6400,
1871-12-01,,4.7400,
1872-01-01,,4.8600,
1872-02-01,,4.8800,
1872-03-01,,5.0400,
1872-04-01,,5.1800,
1872-05-01,,5.1800,
1872-06-01,,5.1300,
1872-07-01,,5.1000,
1872-08-01,,5.0400,
1872-09-01,,4.9500,
1872-10-01,,4.9700,
1872-11-01,,4.9500,
1872-12-01,,5.0700,
1873-01-01,,5.1100,
1873-02-01,,5.1500,
1873-03-01,,5.1100,
1873-04-01,,5.0400,
1873-05-01,,5.0500,
1873-06-01,,4.9800,
1873-07-01,,4.9700,
1873-08-01,,4.9700,
1873-09-01,,4.5900,
1873-10-01,,4.1900,
1873-11-01,,4.0400,
1873-12-01,,4.4200,
1874-01-01,,4.6600,
1874-02-01,,4.8000,
1874-03-01,,4.7300,
1874-04-01,,4.6000,
1874-05-01,,4.4800,
1874-06-01,,4.4600,
1874-07-01,,4.4600,
1874-08-01,,4.4700,
1874-09-01,,4.5400,
1874-10-01,,4.5300,
1874-11-01,,4.5700,
1874-12-01,,4.5400,
1875-01-01,,4.5400,
1875-02-01,,4.5300,
1875-03-01,,4.5900,
1875-04-01,,4.6500,
1875-05-01,,4.4700,
1875-06-01,,4.3800,
1875-07-01,,4.3900,
1875-08-01,,4.4100,
1875-09-01,,4.3700,
1875-10-01,,4.3000,
1875-11-01,,4.3700,
1875-12-01,,4.3700,
1876-01-01,,4.4600,
1876-02-01,,4.5200,
1876-03-01,,4.5100,
1876-04-01,,4.3400,
1876-05-01,,4.1800,
1876-06-01,,4.1500,
1876-07-01,,4.1000,
1876-08-01,,3.9300,
1876-09-01,,3.6900,
1876-10-01,,3.6700,
1876-11-01,,3.6000,
1876-12-01,,3.5800,
1877-01-01,,3.5500,
1877-02-01,,3.3400,
1877-03-01,,3.1700,
1877-04-01,,2.9400,
1877-05-01,,2.9400,
1877-06-01,,2.7300,
1877-07-01,,2.8500,
1877-08-01,,3.0500,
1877-09-01,,3.2400,
1877-10-01,,3.3100,
1877-11-01,,3.2600,
1877-12-01,,3.2500,
1878-01-01,,3.2500,
1878-02-01,,3.1800,
1878-03-01,,3.2400,
1878-04-01,,3.3300,
1878-05-01,,3.3400,
1878-06-01,,3.4100,
1878-07-01,,3.4800,
1878-08-01,,3.4500,
1878-09-01,,3.5200,
1878-10-01,,3.4800,
1878-11-01,,3.4700,
1878-12-01,,3.4500,
1879-01-01,,3.5800,
1879-02-01,,3.7100,
1879-03-01,,3.6500,
1879-04-01,,3.7700,
1879-05-01,,3.9400,
1879-06-01,,3.9600,
1879-07-01,,4.0400,
1879-08-01,,4.0700,
1879-09-01,,4.2200,
1879-10-01,,4.6800,
1879-11-01,,4.9300,
1879-12-01,,4.9200,
1880-01-01,,5.1100,
1880-02-01,,5.2000,
1880-03-01,,5.3000,
1880-04-01,,5.1800,
1880-05-01,,4.7700,
1880-06-01,,4.7900,
1880-07-01,,5.0100,
1880-08-01,,5.1900,
1880-09-01,,5.1800,
1880-10-01,,5.3300,
1880-11-01,,5.6100,
1880-12-01,,5.8400,
1881-01-01,,6.1900,
1881-02-01,,6.1700,
1881-03-01,,6.2400,
1881-04-01,,6.2200,
1881-05-01,,6.5000,
1881-06-01,,6.5800,
1881-07-01,,6.3500,
1881-08-01,,6.2000,
